id,title,assignee,team,estimate_hours,due,priority,depends_on
PA-001,Shoot planning and brief — Cycle 1,adrian,strategy,0.5,2026-04-03,high,
PA-002,Shoot day — filming — Cycle 1,matt,content,4,2026-04-07,high,PA-001
PA-003,Complex reel edits x6 — Cycle 1,matt,content,9,2026-04-17,medium,PA-002
PA-004,Simple reel edits x4 — Cycle 1,madison,content,3,2026-04-17,medium,PA-002
PA-005,Photo gallery editing — Cycle 1,madison,content,1,2026-04-14,medium,PA-002
PA-006,Infographics x2 — Cycle 1,madison,design,3,2026-04-17,medium,PA-002
PA-007,Case study blog article — Cycle 1,michael,seo,1,2026-04-17,medium,PA-002
PA-008,Content schedule + captions — Cycle 1,kim,content,1,2026-04-18,medium,PA-005;PA-003;PA-004;PA-006
PA-009,Shoot planning and brief — Cycle 2,adrian,strategy,0.5,2026-04-24,high,
PA-010,Shoot day — filming — Cycle 2,matt,content,4,2026-04-28,high,PA-009
PA-011,Complex reel edits x6 — Cycle 2,matt,content,9,2026-05-08,medium,PA-010
PA-012,Simple reel edits x4 — Cycle 2,madison,content,3,2026-05-08,medium,PA-010
PA-013,Photo gallery editing — Cycle 2,madison,content,1,2026-05-05,medium,PA-010
PA-014,Infographics x2 — Cycle 2,madison,design,3,2026-05-08,medium,PA-010
PA-015,Case study blog article — Cycle 2,michael,seo,1,2026-05-08,medium,PA-010
PA-016,Content schedule + captions — Cycle 2,kim,content,1,2026-05-09,medium,PA-013;PA-011;PA-012;PA-014
PA-017,Shoot planning and brief — Cycle 3,adrian,strategy,0.5,2026-05-15,high,
PA-018,Shoot day — filming — Cycle 3,matt,content,4,2026-05-19,high,PA-017
PA-019,Complex reel edits x6 — Cycle 3,matt,content,9,2026-05-29,medium,PA-018
PA-020,Simple reel edits x4 — Cycle 3,madison,content,3,2026-05-29,medium,PA-018
PA-021,Photo gallery editing — Cycle 3,madison,content,1,2026-05-26,medium,PA-018
PA-022,Infographics x2 — Cycle 3,madison,design,3,2026-05-29,medium,PA-018
PA-023,Case study blog article — Cycle 3,michael,seo,1,2026-05-29,medium,PA-018
PA-024,Content schedule + captions — Cycle 3,kim,content,1,2026-05-30,medium,PA-021;PA-019;PA-020;PA-022
PA-025,Shoot planning and brief — Cycle 4,adrian,strategy,0.5,2026-06-05,high,
PA-026,Shoot day — filming — Cycle 4,matt,content,4,2026-06-09,high,PA-025
PA-027,Complex reel edits x6 — Cycle 4,matt,content,9,2026-06-19,medium,PA-026
PA-028,Simple reel edits x4 — Cycle 4,madison,content,3,2026-06-19,medium,PA-026
PA-029,Photo gallery editing — Cycle 4,madison,content,1,2026-06-16,medium,PA-026
PA-030,Infographics x2 — Cycle 4,madison,design,3,2026-06-19,medium,PA-026
PA-031,Case study blog article — Cycle 4,michael,seo,1,2026-06-19,medium,PA-026
PA-032,Content schedule + captions — Cycle 4,kim,content,1,2026-06-20,medium,PA-029;PA-027;PA-028;PA-030
PA-033,Run technical SEO audit,michael,seo,2,2026-04-11,high,
PA-034,Fix critical audit issues,michael,seo,2,2026-04-25,high,
PA-035,Update meta descriptions,michael,seo,1,2026-05-09,medium,
PA-036,Internal linking review,michael,seo,1,2026-05-16,medium,
PA-037,Keyword ranking review,adrian,seo,1,2026-05-30,medium,
PA-038,SEO report for client,adrian,seo,1,2026-06-13,medium,
PA-039,Implement audit recommendations,michael,website,2,2026-06-20,medium,
PA-040,Campaign setup/refresh,adrian,ads,3,2026-04-04,high,
PA-041,Monthly optimisation — April,adrian,ads,2,2026-04-30,medium,
PA-042,Monthly optimisation — May,adrian,ads,2,2026-05-30,medium,
PA-043,Monthly optimisation — June,adrian,ads,2,2026-06-27,medium,
PA-044,Quarterly performance report,adrian,ads,3,2026-06-27,medium,
PA-045,Write VO narrative script,adrian,strategy,1,2026-04-11,high,
PA-046,Generate VO via ElevenLabs,adrian,content,0.5,2026-04-14,high,
PA-047,Select b-roll + edit with VO,matt,content,2,2026-04-18,high,
PA-048,Add captions + export formats,matt,content,1,2026-04-21,medium,
PA-049,Review + revisions,adrian,strategy,0.5,2026-04-23,medium,
PA-050,Keyword research + campaign structure,adrian,ads,1.5,2026-04-18,high,
PA-051,Ad copy writing,adrian,ads,1,2026-04-21,high,
PA-052,Campaign build + settings (train Michael),adrian,ads,2,2026-04-25,high,
PA-053,Monthly optimisation — May,michael,ads,1,2026-05-30,medium,
PA-054,Monthly optimisation — June,michael,ads,1,2026-06-27,medium,
PA-055,Quarterly performance report,adrian,ads,1.5,2026-06-27,medium,
PA-056,GTM container setup + install on site,adrian,google,1,2026-04-11,high,
PA-057,Meta pixel via GTM + event tracking,adrian,google,1,2026-04-14,high,
PA-058,Google Ads conversion tracking via GTM,adrian,google,1,2026-04-18,high,
PA-059,Test all conversions end-to-end,michael,google,1,2026-04-21,high,
PA-060,Migration audit + planning,michael,website,1,2026-05-02,high,
PA-061,Export + convert Webflow site,michael,website,2,2026-05-09,high,
PA-062,Cloudflare Pages setup + deploy,michael,website,1,2026-05-14,high,
PA-063,DNS migration + SSL + testing,michael,website,1,2026-05-16,high,
PA-064,LP strategy + wireframe brief,adrian,strategy,1,2026-05-02,high,
PA-065,LP copy writing,adrian,website,0.5,2026-05-05,high,
PA-066,LP UX design,madison,design,3,2026-05-12,high,
PA-067,LP development + build,michael,website,2,2026-05-19,high,
PA-068,QA + responsive testing,michael,website,0.5,2026-05-21,medium,PA-067
PA-069,Write GTM setup skill / playbook,adrian,automations,1,2026-05-23,medium,
PA-070,Write conversion tracking skill / playbook,adrian,automations,1,2026-05-30,medium,
